CI_Cat,CI_Subcat,WBS,Status,Impact,Urgency,Priority,number_cnt,Category,Alert_Status,No_of_Reassignments,Open_Time,Reopen_Time,Resolved_Time,Close_Time,Handle_Time_hrs,Closure_Code,No_of_Related_Interactions,No_of_Related_Incidents,No_of_Related_Changes,Resolution_Time_hrs
computer,Laptop,WBS000187,Closed,5,5,5.0,0.517257256,incident,closed,6.0,2013-09-05 13:50:00,2013-09-10 12:26:00,2013-10-09 12:55:00,2013-10-09 12:55:00,1406527778,Hardware,2.0,1.0,1.0,815.0833333333334
application,Web Based Application,WBS000025,Closed,5,5,5.0,0.134819091,request for information,closed,1.0,2013-09-09 09:38:00,2013-10-01 16:21:00,2013-10-07 13:20:00,2013-10-07 13:21:00,2137241667,Other,1.0,1.0,1.0,675.7166666666667
application,Server Based Application,WBS000014,Closed,4,4,4.0,0.791504974,incident,closed,8.0,2013-09-09 12:54:00,2013-10-01 16:21:00,2013-10-09 08:48:00,2013-10-09 08:48:00,1746941667,Other,1.0,1.0,1.0,715.9
computer,Laptop,WBS000091,Closed,5,5,5.0,0.206093426,incident,closed,2.0,2013-09-09 12:44:00,2013-10-01 16:21:00,2013-10-03 10:56:00,2013-10-03 10:56:00,2359694444,Hardware,1.0,1.0,1.0,574.2
application,Web Based Application,WBS000025,Closed,5,5,5.0,0.727929644,request for information,closed,3.0,2013-09-09 15:31:00,2013-10-01 16:21:00,2013-10-07 12:50:00,2013-10-07 12:50:00,2073069444,Other,1.0,1.0,1.0,669.3166666666667
displaydevice,Monitor,WBS000091,Closed,4,4,4.0,0.348530022,incident,closed,4.0,2013-09-10 09:02:00,2013-10-07 08:52:00,2013-10-09 12:21:00,2013-10-09 12:21:00,2121988889,Hardware,3.0,1.0,1.0,699.3166666666667
application,Web Based Application,WBS000088,Closed,4,4,4.0,0.590328906,incident,closed,2.0,2013-09-10 13:47:00,2013-10-01 16:21:00,2013-10-07 10:51:00,2013-10-07 10:51:00,42585,Other,1.0,1.0,1.0,645.0666666666667
subapplication,Web Based Application,WBS000073,Closed,5,5,5.0,0.623874011,incident,closed,6.0,2013-09-10 11:07:00,,2013-10-01 11:34:00,2013-10-01 11:34:00,7816638889,Software,3.0,1.0,1.0,504.45
application,Web Based Application,WBS000318,Closed,5,5,5.0,0.352281552,incident,closed,5.0,2013-09-10 12:11:00,2013-10-01 16:21:00,2013-10-09 14:07:00,2013-10-09 14:07:00,4805944444,Unknown,2.0,1.0,1.0,697.9333333333333
subapplication,Web Based Application,WBS000073,Closed,4,4,4.0,0.677817213,incident,closed,2.0,2013-09-10 12:20:00,2013-10-01 16:21:00,2013-10-08 09:55:00,2013-10-08 09:55:00,1046127778,Software,9.0,1.0,1.0,669.5833333333334
application,Server Based Application,WBS000300,Closed,NS,3,4.0,0.243775802,incident,closed,0.0,2013-09-10 14:05:00,2013-10-01 16:21:00,2013-10-10 13:33:00,2013-10-10 13:34:00,2304908333,Other,1.0,1.0,1.0,719.4833333333333
application,Server Based Application,WBS000072,Closed,5,5,5.0,0.343589403,request for information,closed,4.0,2013-09-11 08:35:00,2013-10-04 15:12:00,2013-10-09 13:58:00,2013-10-09 13:58:00,3134194444,Other,2.0,1.0,1.0,677.3833333333333
application,Web Based Application,WBS000088,Closed,4,4,4.0,0.470103573,incident,closed,4.0,2013-09-11 09:40:00,2013-10-01 16:21:00,2013-10-03 09:36:00,2013-10-03 09:37:00,1679563889,Other,1.0,1.0,1.0,527.95
application,Web Based Application,WBS000088,Closed,4,4,4.0,0.538821416,incident,closed,4.0,2013-09-11 11:15:00,2013-10-01 16:21:00,2013-10-07 11:12:00,2013-10-07 11:12:00,3626277778,No error - works as designed,1.0,1.0,1.0,623.95
application,Server Based Application,WBS000072,Closed,5,5,5.0,0.421863284,request for information,closed,5.0,2013-09-11 11:28:00,2013-10-01 16:21:00,2013-10-02 08:00:00,2013-10-02 08:00:00,1540388889,Other,1.0,1.0,1.0,500.53333333333336
application,Desktop Application,WBS000110,Closed,5,5,5.0,0.839904627,request for information,closed,6.0,2013-09-11 13:52:00,2013-10-01 16:21:00,2013-10-01 14:15:00,2013-10-01 14:16:00,1473994444,Inquiry,1.0,1.0,1.0,480.4
computer,Laptop,WBS000187,Closed,5,5,5.0,0.656808738,incident,closed,3.0,2013-09-12 09:16:00,,2013-10-02 10:06:00,2013-10-02 10:08:00,1020805556,Data,2.0,1.0,1.0,480.8666666666667
application,Server Based Application,WBS000072,Closed,5,5,5.0,0.820605858,request for information,closed,1.0,2013-09-11 15:36:00,2013-10-01 16:21:00,2013-10-02 08:07:00,2013-10-02 08:07:00,1500127778,Other,1.0,1.0,1.0,496.51666666666665
computer,Laptop,WBS000091,Closed,5,5,5.0,0.961722865,request for information,closed,2.0,2013-09-11 15:43:00,2013-10-01 16:21:00,2013-10-02 14:08:00,2013-10-02 14:08:00,2558527778,Software,1.0,1.0,1.0,502.4166666666667
application,Server Based Application,WBS000072,Closed,5,5,5.0,0.018887338,request for information,closed,4.0,2013-09-12 09:06:00,2013-10-08 10:46:00,2013-10-08 10:46:00,2013-10-08 10:46:00,5953805556,Other,2.0,1.0,1.0,625.6666666666666
application,Server Based Application,WBS000263,Closed,5,5,5.0,0.831843622,request for information,closed,5.0,2013-09-12 09:59:00,2013-10-01 16:21:00,2013-10-02 16:49:00,2013-10-02 16:50:00,1538411111,Other,1.0,1.0,1.0,486.85
application,Web Based Application,WBS000318,Closed,4,4,4.0,0.711677112,incident,closed,1.0,2013-09-12 11:06:00,2013-10-01 16:21:00,2013-10-01 08:44:00,2013-10-01 08:44:00,1341316667,No error - works as designed,1.0,1.0,1.0,453.6333333333333
subapplication,Web Based Application,WBS000073,Closed,4,4,4.0,0.590998998,incident,closed,7.0,2013-09-12 11:34:00,,2013-10-02 14:21:00,2013-10-02 14:21:00,415575,User error,2.0,1.0,1.0,482.78333333333336
subapplication,Web Based Application,WBS000073,Closed,4,4,4.0,0.124376334,incident,closed,2.0,2013-09-12 12:07:00,2013-10-01 16:21:00,2013-10-04 06:56:00,2013-10-04 06:56:00,8298222222,Data,1.0,1.0,1.0,522.8166666666667
application,Server Based Application,WBS000223,Closed,4,4,4.0,0.72168715,incident,closed,4.0,2013-09-12 13:35:00,2013-10-01 16:21:00,2013-10-08 15:17:00,2013-10-08 15:17:00,4245361111,Unknown,1.0,1.0,1.0,625.7
application,Web Based Application,WBS000073,Closed,4,4,4.0,0.029575218,incident,closed,3.0,2013-09-12 16:37:00,2013-10-01 16:21:00,2013-10-01 10:25:00,2013-10-01 10:26:00,2791694444,Unknown,1.0,1.0,1.0,449.81666666666666
application,Citrix,WBS000292,Closed,4,4,4.0,0.757389739,incident,closed,0.0,2013-10-01 07:33:00,2013-10-01 16:21:00,2013-10-01 08:36:00,2013-10-01 08:37:00,1068611111,Software,1.0,1.0,1.0,1.0666666666666667
computer,Desktop,WBS000187,Closed,5,5,5.0,0.325460108,incident,closed,2.0,2013-10-01 08:18:00,2013-10-01 16:21:00,2013-10-07 11:51:00,2013-10-07 11:52:00,4555611111,Hardware,1.0,1.0,1.0,147.56666666666666
application,Server Based Application,WBS000027,Closed,5,5,5.0,0.661340572,incident,closed,1.0,2013-10-01 08:39:00,2013-10-01 16:21:00,2013-10-01 15:39:00,2013-10-01 15:39:00,7003888889,Other,1.0,1.0,1.0,7.0
computer,Laptop,WBS000091,Closed,5,5,5.0,0.454961084,incident,closed,0.0,2013-10-01 08:40:00,2013-10-01 16:21:00,2013-10-02 11:30:00,2013-10-02 11:30:00,20277778,Other,1.0,1.0,1.0,26.833333333333332
application,Server Based Application,WBS000006,Closed,3,3,3.0,0.893778732,incident,closed,1.0,2013-10-01 08:56:00,2013-10-01 16:21:00,2013-10-01 11:55:00,2013-10-01 11:55:00,2974166667,Unknown,3.0,1.0,1.0,2.9833333333333334
application,Server Based Application,WBS000027,Closed,3,3,3.0,0.263743877,request for information,closed,0.0,2013-10-01 09:25:00,2013-10-01 16:21:00,2013-10-01 22:11:00,2013-10-01 22:11:00,8580277778,Other,1.0,1.0,1.0,12.766666666666667
application,Web Based Application,WBS000073,Closed,4,4,4.0,0.916479748,incident,closed,0.0,2013-10-01 09:25:00,2013-10-01 16:21:00,2013-10-01 10:02:00,2013-10-01 10:02:00,605833333,Other,1.0,1.0,1.0,0.6166666666666667
computer,Banking Device,WBS000146,Closed,3,3,3.0,0.435542439,incident,closed,1.0,2013-10-01 09:30:00,2013-10-01 16:21:00,2013-10-01 22:13:00,2013-10-01 22:13:00,8483611111,Other,1.0,1.0,1.0,12.716666666666667
application,Server Based Application,WBS000169,Closed,4,4,4.0,0.564410228,incident,closed,1.0,2013-10-01 09:41:00,2013-10-01 16:21:00,2013-10-01 10:12:00,2013-10-01 10:12:00,515555556,Other,1.0,1.0,1.0,0.5166666666666667
application,Server Based Application,WBS000072,Closed,5,5,5.0,0.364589063,request for information,closed,2.0,2013-10-01 08:18:00,2013-10-01 16:21:00,2013-10-01 14:19:00,2013-10-01 14:19:00,6018888889,Other,1.0,1.0,1.0,6.016666666666667
application,Server Based Application,WBS000014,Closed,5,4,4.0,0.016762603,request for information,closed,0.0,2013-10-01 08:23:00,2013-10-01 16:21:00,2013-10-03 13:13:00,2013-10-03 13:13:00,2584,Other,1.0,1.0,1.0,52.833333333333336
application,Server Based Application,WBS000014,Closed,3,3,3.0,0.268647575,request for information,closed,0.0,2013-10-01 08:24:00,2013-10-01 16:21:00,2013-10-03 13:18:00,2013-10-03 13:18:00,2589972222,Other,1.0,1.0,1.0,52.9
application,Server Based Application,WBS000014,Closed,3,3,3.0,0.648336703,request for information,closed,0.0,2013-10-01 08:29:00,2013-10-01 16:21:00,2013-10-03 13:36:00,2013-10-03 13:36:00,2611333333,Other,1.0,1.0,1.0,53.11666666666667
application,Server Based Application,WBS000014,Closed,5,4,4.0,0.721141734,request for information,closed,0.0,2013-10-01 08:32:00,2013-10-01 16:21:00,2013-10-03 13:40:00,2013-10-03 13:40:00,2613361111,Other,1.0,1.0,1.0,53.13333333333333
application,Server Based Application,WBS000090,Closed,4,4,4.0,0.175471761,incident,closed,3.0,2013-10-01 08:36:00,2013-10-01 16:21:00,2013-10-02 15:50:00,2013-10-02 15:50:00,1773555556,Software,1.0,1.0,1.0,31.233333333333334
application,Server Based Application,WBS000030,Closed,4,4,4.0,0.031299104,incident,closed,6.0,2013-10-01 08:36:00,2013-10-01 16:21:00,2013-10-08 08:42:00,2013-10-08 08:43:00,2279,Software,1.0,1.0,1.0,168.11666666666667
storage,Controller,WBS000182,Closed,3,3,3.0,0.6900182,incident,closed,0.0,2013-10-01 08:58:00,2013-10-01 16:21:00,2013-10-01 11:22:00,2013-10-01 11:22:00,1299444444,Hardware,1.0,1.0,1.0,2.4
application,Server Based Application,WBS000199,Closed,3,3,3.0,0.096858033,incident,closed,0.0,2013-10-01 07:33:00,2013-10-01 16:21:00,2013-10-10 12:53:00,2013-10-01 08:25:00,871944444,User error,1.0,1.0,1.0,0.8666666666666667
application,Citrix,WBS000292,Closed,4,4,4.0,0.171948597,incident,closed,3.0,2013-10-01 07:45:00,2013-10-01 16:21:00,2013-10-03 10:35:00,2013-10-03 10:37:00,2040416667,Software,1.0,1.0,1.0,50.86666666666667
application,Citrix,WBS000292,Closed,4,4,4.0,0.635786488,incident,closed,2.0,2013-10-01 08:00:00,2013-10-01 16:21:00,2013-10-08 09:03:00,2013-10-08 09:03:00,1996611111,Software,1.0,1.0,1.0,169.05
computer,Banking Device,WBS000146,Closed,3,3,3.0,0.789635041,incident,closed,1.0,2013-10-01 08:27:00,2013-10-01 16:21:00,2013-10-02 11:39:00,2013-10-02 11:39:00,1369972222,Hardware,1.0,1.0,1.0,27.2
application,Web Based Application,WBS000172,Closed,3,3,3.0,0.137314818,incident,closed,0.0,2013-10-01 08:41:00,2013-10-01 16:21:00,2013-10-01 09:22:00,2013-10-01 09:22:00,690277778,Other,1.0,1.0,1.0,0.6833333333333333
application,Server Based Application,WBS000118,Closed,5,5,5.0,0.208413954,incident,closed,0.0,2013-10-01 08:46:00,2013-10-01 16:21:00,2013-10-01 10:00:00,2013-10-01 10:00:00,123,Other,1.0,1.0,1.0,1.2333333333333334
application,Desktop Application,WBS000091,Closed,4,4,4.0,0.720383828,incident,closed,0.0,2013-10-01 08:48:00,2013-10-01 16:21:00,2013-10-01 09:14:00,2013-10-01 09:14:00,433333333,Software,1.0,1.0,1.0,0.43333333333333335
application,Server Based Application,WBS000072,Closed,5,5,5.0,0.896015182,request for information,closed,0.0,2013-10-01 08:54:00,2013-10-01 16:21:00,2013-10-01 09:09:00,2013-10-01 09:09:00,259166667,Other,1.0,1.0,1.0,0.25
application,Web Based Application,WBS000172,Closed,NS,3,4.0,0.290533435,incident,closed,0.0,2013-10-01 09:01:00,2013-10-01 16:21:00,2013-10-01 09:23:00,2013-10-01 09:23:00,356944444,Other,1.0,1.0,1.0,0.36666666666666664
subapplication,Server Based Application,WBS000095,Closed,4,4,4.0,0.623003312,incident,closed,0.0,2013-10-01 09:06:00,2013-10-01 16:21:00,2013-10-01 11:16:00,2013-10-01 11:16:00,2165,Software,1.0,1.0,1.0,2.1666666666666665
application,Server Based Application,WBS000006,Closed,NS,3,4.0,0.036060548,incident,closed,0.0,2013-10-01 09:15:00,2013-10-01 16:21:00,2013-10-01 14:04:00,2013-10-01 14:05:00,671388889,Other,1.0,1.0,1.0,4.833333333333333
application,Web Based Application,WBS000153,Closed,5,5,5.0,0.301725861,incident,closed,0.0,2013-10-01 09:17:00,2013-10-01 16:21:00,2013-10-02 08:28:00,2013-10-02 08:28:00,9675,Software,1.0,1.0,1.0,23.183333333333334
application,Server Based Application,WBS000255,Closed,5,5,5.0,0.98823288,incident,closed,0.0,2013-10-01 09:26:00,2013-10-01 16:21:00,2013-10-03 10:42:00,2013-10-03 10:45:00,1296972222,User error,1.0,1.0,1.0,49.31666666666667
application,Server Based Application,WBS000027,Closed,5,5,5.0,0.360803534,request for information,closed,0.0,2013-10-01 09:28:00,2013-10-01 16:21:00,2013-10-01 22:19:00,2013-10-01 22:19:00,8525555556,Other,1.0,1.0,1.0,12.85
application,Web Based Application,WBS000172,Closed,5,5,5.0,0.807979443,incident,closed,2.0,2013-10-01 09:44:00,2013-10-01 16:21:00,2013-11-01 17:07:00,2013-11-01 17:08:00,2398744444,Other,1.0,1.0,1.0,751.4
application,Server Based Application,WBS000099,Closed,NS,3,4.0,0.484655077,incident,closed,0.0,2013-10-01 09:53:00,2013-10-01 16:21:00,2013-10-10 12:53:00,2013-10-01 09:55:00,40277778,User error,1.0,1.0,1.0,0.03333333333333333
subapplication,Web Based Application,WBS000047,Closed,4,4,4.0,0.843685872,incident,closed,0.0,2013-10-01 10:17:00,2013-10-01 16:21:00,2013-10-01 10:28:00,2013-10-01 10:28:00,193055556,User error,1.0,1.0,1.0,0.18333333333333332
application,Server Based Application,WBS000072,Closed,5,5,5.0,0.227021904,request for information,closed,4.0,2013-10-01 10:26:00,2013-10-07 07:45:00,2013-10-08 10:15:00,2013-10-08 10:15:00,1913305556,Other,3.0,1.0,1.0,167.81666666666666
application,Server Based Application,WBS000073,Closed,4,4,4.0,0.418766846,incident,closed,1.0,2013-10-01 10:26:00,2013-10-01 16:21:00,2013-10-04 12:45:00,2013-10-04 12:45:00,3380666667,No error - works as designed,1.0,1.0,1.0,74.31666666666666
application,Web Based Application,WBS000073,Closed,4,4,4.0,0.725767564,incident,closed,0.0,2013-10-01 10:35:00,2013-10-01 16:21:00,2013-10-02 11:16:00,2013-10-02 11:16:00,1118166667,Software,1.0,1.0,1.0,24.683333333333334
subapplication,Web Based Application,WBS000073,Closed,4,4,4.0,0.471677246,incident,closed,0.0,2013-10-01 10:53:00,2013-10-01 16:21:00,2013-10-01 12:32:00,2013-10-01 12:32:00,16575,Other,1.0,1.0,1.0,1.65
application,Web Based Application,WBS000168,Closed,5,5,5.0,0.679391433,incident,closed,0.0,2013-10-01 10:59:00,2013-10-01 16:21:00,2013-10-01 12:53:00,2013-10-01 12:53:00,1899722222,Software,1.0,1.0,1.0,1.9
application,Server Based Application,WBS000072,Closed,5,5,5.0,0.313108546,request for information,closed,0.0,2013-10-01 08:14:00,2013-10-01 16:21:00,2013-10-01 08:18:00,2013-10-01 08:18:00,58611111,Other,1.0,1.0,1.0,0.06666666666666667
application,Client Based Application,WBS000073,Closed,4,4,4.0,0.271493381,incident,closed,1.0,2013-10-01 08:18:00,2013-10-01 16:21:00,2013-10-01 08:29:00,2013-10-01 08:29:00,190277778,Software,1.0,1.0,1.0,0.18333333333333332
application,Server Based Application,WBS000072,Closed,5,5,5.0,0.738239046,request for information,closed,0.0,2013-10-01 08:31:00,2013-10-01 16:21:00,2013-10-01 08:36:00,2013-10-01 08:36:00,83611111,Other,1.0,1.0,1.0,0.08333333333333333
storage,SAN,WBS000128,Closed,4,4,4.0,0.008372447,incident,closed,3.0,2013-10-01 08:36:00,2013-10-01 16:21:00,2013-10-11 08:55:00,2013-10-11 08:56:00,3669666667,Other,1.0,1.0,1.0,240.33333333333334
application,Desktop Application,WBS000093,Closed,4,4,4.0,0.654142354,incident,closed,0.0,2013-10-01 08:45:00,2013-10-01 16:21:00,2013-10-01 09:08:00,2013-10-01 09:08:00,391944444,Software,1.0,1.0,1.0,0.38333333333333336
subapplication,Web Based Application,WBS000073,Closed,4,4,4.0,0.12555525,incident,closed,0.0,2013-10-01 08:47:00,2013-10-01 16:21:00,2013-10-02 10:14:00,2013-10-02 10:14:00,1196361111,Unknown,1.0,1.0,1.0,25.45
application,Desktop Application,WBS000092,Closed,4,4,4.0,0.130913349,incident,closed,0.0,2013-10-01 08:57:00,2013-10-01 16:21:00,2013-10-01 10:26:00,2013-10-01 10:27:00,23888889,Other,1.0,1.0,1.0,1.5
application,Server Based Application,WBS000118,Closed,5,5,5.0,0.004754474,incident,closed,0.0,2013-10-01 09:04:00,2013-10-01 16:21:00,2013-10-01 09:12:00,2013-10-01 09:12:00,139722222,Other,1.0,1.0,1.0,0.13333333333333333
application,Server Based Application,WBS000006,Closed,3,3,3.0,0.657048758,incident,closed,0.0,2013-10-01 09:05:00,2013-10-01 16:21:00,2013-10-01 14:04:00,2013-10-01 14:04:00,842777778,Referred,1.0,1.0,1.0,4.983333333333333
application,SAP,WBS000271,Closed,5,5,5.0,0.069105499,request for information,closed,0.0,2013-10-01 09:12:00,2013-10-01 16:21:00,2013-10-01 09:23:00,2013-10-01 09:27:00,256666667,Other,1.0,1.0,1.0,0.25
application,Server Based Application,WBS000228,Closed,5,5,5.0,0.75936872,request for information,closed,0.0,2013-10-01 09:16:00,2013-10-01 16:21:00,2013-10-01 11:13:00,2013-10-01 11:13:00,19475,Other,1.0,1.0,1.0,1.95
application,Client Based Application,WBS000098,Closed,4,4,4.0,0.761981192,incident,closed,0.0,2013-10-01 09:16:00,2013-10-01 16:21:00,2013-10-08 09:18:00,2013-10-08 09:18:00,1005,Software,1.0,1.0,1.0,168.03333333333333
application,Desktop Application,WBS000218,Closed,4,4,4.0,0.316011935,incident,closed,2.0,2013-10-01 09:24:00,2013-10-01 16:21:00,2013-10-08 08:42:00,2013-10-08 08:43:00,2109166667,Other,1.0,1.0,1.0,167.31666666666666
application,Server Based Application,WBS000006,Closed,3,3,3.0,0.495997512,incident,closed,0.0,2013-10-01 09:25:00,2013-10-01 16:21:00,2013-10-01 14:04:00,2013-10-01 14:04:00,525833333,Referred,1.0,1.0,1.0,4.65
application,Web Based Application,WBS000073,Closed,4,5,4.0,0.748942626,incident,closed,6.0,2013-10-01 09:30:00,2013-10-01 16:21:00,2013-10-04 14:15:00,2013-10-04 14:15:00,3437,Unknown,1.0,1.0,1.0,76.75
subapplication,Web Based Application,WBS000073,Closed,4,4,4.0,0.784525848,incident,closed,0.0,2013-10-01 09:31:00,2013-10-01 16:21:00,2013-10-01 14:11:00,2013-10-01 14:11:00,4653055556,Unknown,1.0,1.0,1.0,4.666666666666667
application,Web Based Application,WBS000318,Closed,4,4,4.0,0.927794333,incident,closed,2.0,2013-10-01 09:35:00,2013-10-01 16:21:00,2013-10-03 18:00:00,2013-10-03 18:00:00,29415,Software,1.0,1.0,1.0,56.416666666666664
subapplication,Server Based Application,WBS000027,Closed,3,3,3.0,0.870448794,incident,closed,0.0,2013-10-01 09:35:00,2013-10-01 16:21:00,2013-10-01 22:20:00,2013-10-01 22:20:00,8411111111,Other,1.0,1.0,1.0,12.75
subapplication,Server Based Application,WBS000027,Closed,3,3,3.0,0.684548776,incident,closed,0.0,2013-10-01 09:42:00,2013-10-01 16:21:00,2013-10-01 22:21:00,2013-10-01 22:21:00,8293888889,Other,1.0,1.0,1.0,12.65
subapplication,Web Based Application,WBS000073,Closed,4,4,4.0,0.043245058,incident,closed,0.0,2013-10-01 09:42:00,2013-10-01 16:21:00,2013-10-01 14:15:00,2013-10-01 14:15:00,45475,Other,1.0,1.0,1.0,4.55
application,Server Based Application,WBS000013,Closed,3,3,3.0,0.095778685,incident,closed,0.0,2013-10-01 09:43:00,2013-10-01 16:21:00,2013-10-10 12:53:00,2013-10-01 10:10:00,4425,User error,1.0,1.0,1.0,0.45
application,Server Based Application,WBS000199,Closed,3,3,3.0,0.111414727,incident,closed,0.0,2013-10-01 09:52:00,2013-10-01 16:21:00,2013-10-01 10:02:00,2013-10-01 10:02:00,178055556,User error,1.0,1.0,1.0,0.16666666666666666
computer,Banking Device,WBS000146,Closed,4,4,4.0,0.518900508,incident,closed,1.0,2013-10-01 09:57:00,2013-10-01 16:21:00,2013-10-08 16:05:00,2013-10-08 16:05:00,5863333333,Hardware,1.0,1.0,1.0,174.13333333333333
application,SAP,WBS000271,Closed,5,5,5.0,0.289693165,request for information,closed,3.0,2013-10-01 10:03:00,2013-10-01 16:21:00,2013-10-02 10:50:00,2013-10-02 10:50:00,1128083333,Other,1.0,1.0,1.0,24.783333333333335
application,Server Based Application,WBS000073,Closed,4,4,4.0,0.042833035,incident,closed,0.0,2013-10-01 10:03:00,2013-10-01 16:21:00,2013-10-01 12:20:00,2013-10-01 12:21:00,2290833333,Other,1.0,1.0,1.0,2.3
computer,Banking Device,WBS000146,Closed,3,3,3.0,0.453219018,incident,closed,1.0,2013-10-01 10:04:00,2013-10-01 16:21:00,2013-10-02 10:34:00,2013-10-02 10:34:00,1100083333,Other,1.0,1.0,1.0,24.5
computer,Laptop,WBS000187,Closed,4,4,4.0,0.417484642,incident,closed,0.0,2013-10-01 10:05:00,2013-10-01 16:21:00,2013-10-01 14:28:00,2013-10-01 14:28:00,4382777778,Software,1.0,1.0,1.0,4.383333333333334
application,Client Based Application,WBS000073,Closed,4,4,4.0,0.471269315,incident,closed,0.0,2013-10-01 10:06:00,2013-10-01 16:21:00,2013-10-01 14:12:00,2013-10-01 14:12:00,4097222222,Software,1.0,1.0,1.0,4.1
computer,Banking Device,WBS000146,Closed,3,3,3.0,0.247571374,incident,closed,1.0,2013-10-01 10:08:00,2013-10-01 16:21:00,2013-10-02 10:35:00,2013-10-02 10:35:00,1095194444,Other,1.0,1.0,1.0,24.45
subapplication,Web Based Application,WBS000125,Closed,5,5,5.0,0.141743418,incident,closed,0.0,2013-10-01 10:09:00,2013-10-01 16:21:00,2013-10-01 11:59:00,2013-10-01 11:59:00,1842777778,Other,1.0,1.0,1.0,1.8333333333333333
application,SAP,WBS000271,Closed,5,5,5.0,0.817159933,request for information,closed,0.0,2013-10-01 10:11:00,2013-10-01 16:21:00,2013-10-01 10:13:00,2013-10-01 10:13:00,24166667,Other,1.0,1.0,1.0,0.03333333333333333
application,Server Based Application,WBS000073,Closed,4,4,4.0,0.600247429,incident,closed,2.0,2013-10-01 10:14:00,2013-10-01 16:21:00,2013-10-09 09:54:00,2013-10-09 09:54:00,3156666667,Other,1.0,1.0,1.0,191.66666666666666
application,Server Based Application,WBS000268,Closed,4,4,4.0,0.573135373,incident,closed,0.0,2013-10-01 09:00:00,2013-10-01 16:21:00,2013-10-01 09:26:00,2013-10-01 09:26:00,431666667,Operator error,1.0,1.0,1.0,0.43333333333333335
storage,Controller,WBS000182,Closed,NS,3,4.0,0.903279408,incident,closed,0.0,2013-10-01 09:06:00,2013-10-01 16:21:00,2013-10-01 13:26:00,2013-10-01 13:26:00,754722222,Hardware,1.0,1.0,1.0,4.333333333333333
computer,Laptop,WBS000187,Closed,5,5,5.0,0.719225118,incident,closed,0.0,2013-10-01 09:06:00,2013-10-01 16:21:00,2013-10-02 10:10:00,2013-10-02 10:10:00,1155861111,Hardware,1.0,1.0,1.0,25.066666666666666
